t,y
0.0,0.0
25200.0,0.009
28800.0,0.038
32400.0,0.103
36000.0,0.159
39600.0,0.165
72000.0,0.0
108000.0,0.0
122400.0,0.169
144000.0,0.0
180000.0,0.0
216000.0,0.03
252000.0,0.0
288000.0,0.044
324000.0,0.0
360000.0,0.0
378000.0,0.181
381600.0,0.423
385200.0,0.436
396000.0,0.002
432000.0,0.0
468000.0,0.374
504000.0,0.0
540000.0,0.013
550800.0,0.486
576000.0,0.0
612000.0,0.0
648000.0,0.116
684000.0,0.0
720000.0,0.127
756000.0,0.0
792000.0,0.0
828000.0,0.005
864000.0,0.0
900000.0,0.245
936000.0,0.0
972000.0,0.003
1008000.0,0.0
1044000.0,0.0
1080000.0,0.027
1116000.0,0.0
1152000.0,0.041
1188000.0,0.0
1224000.0,0.0
1260000.0,0.003
1296000.0,0.0
1332000.0,0.065
1368000.0,0.0
1404000.0,0.01
1418400.0,0.516
1440000.0,0.0
1476000.0,0.0
1512000.0,0.355
1548000.0,0.0
1584000.0,0.148
1620000.0,0.0
1656000.0,0.0
1692000.0,0.0
1728000.0,0.0
1764000.0,0.211
1800000.0,0.0
1836000.0,0.011
1872000.0,0.0
1908000.0,0.0
1944000.0,0.043
1980000.0,0.0
2016000.0,0.158
2052000.0,0.0
2088000.0,0.0
2124000.0,0.01
2160000.0,0.0
2196000.0,0.179
2232000.0,0.0
2268000.0,0.014
2304000.0,0.0
2340000.0,0.0
2365200.0,0.5650000000000001
2368800.0,0.606
2376000.0,0.462
2412000.0,0.0
2448000.0,0.516
2451600.0,0.613
2455200.0,0.633
2484000.0,0.0
2520000.0,0.0
2556000.0,0.024
2592000.0,0.0
2628000.0,0.544
2664000.0,0.0
2700000.0,0.016
2736000.0,0.0
2772000.0,0.0
2808000.0,0.276
2844000.0,0.0
2880000.0,0.345
2916000.0,0.0
2952000.0,0.0
2988000.0,0.041
3024000.0,0.0
3060000.0,0.203
3096000.0,0.0
3132000.0,0.064
3168000.0,0.0
3204000.0,0.0
3240000.0,0.12
3276000.0,0.0
3312000.0,0.163
3348000.0,0.0
3384000.0,0.0
3420000.0,0.063
3456000.0,0.0
3492000.0,0.148
3528000.0,0.0
3564000.0,0.062
3600000.0,0.0
3636000.0,0.0
3664800.0,0.634
3672000.0,0.531
3708000.0,0.0
3744000.0,0.06
3780000.0,0.0
3816000.0,0.0
3852000.0,0.034
3888000.0,0.0
3924000.0,0.154
3960000.0,0.0
3996000.0,0.049
4032000.0,0.0
4068000.0,0.0
4104000.0,0.429
4140000.0,0.0
4176000.0,0.406
4212000.0,0.0
4248000.0,0.0
4284000.0,0.084
4320000.0,0.0
4356000.0,0.484
4392000.0,0.0
4428000.0,0.025
4464000.0,0.0
4500000.0,0.0
4536000.0,0.446
4572000.0,0.0
4608000.0,0.469
4615200.0,0.687
4644000.0,0.0
4680000.0,0.0
4698000.0,0.704
4701600.0,0.717
4716000.0,0.225
4752000.0,0.0
4788000.0,0.598
4824000.0,0.0
4860000.0,0.053
4896000.0,0.0
4932000.0,0.0
4968000.0,0.391
5004000.0,0.0
5040000.0,0.112
5076000.0,0.0
5112000.0,0.0
5148000.0,0.032
5184000.0,0.0
5220000.0,0.685
5256000.0,0.0
5292000.0,0.085
5328000.0,0.0
5364000.0,0.0
5400000.0,0.579
5436000.0,0.0
5472000.0,0.593
5508000.0,0.0
5544000.0,0.0
5580000.0,0.23
5616000.0,0.0
5652000.0,0.71
5688000.0,0.0
5724000.0,0.285
5760000.0,0.0
5796000.0,0.0
5821200.0,0.724
5824800.0,0.738
5832000.0,0.615
5868000.0,0.0
5904000.0,0.64
5940000.0,0.0
5976000.0,0.0
6012000.0,0.273
6048000.0,0.0
6084000.0,0.72
6120000.0,0.0
6156000.0,0.321
6192000.0,0.0
6228000.0,0.0
6264000.0,0.599
6300000.0,0.0
6336000.0,0.321
6372000.0,0.0
6408000.0,0.0
6444000.0,0.102
6480000.0,0.0
6516000.0,0.36
6552000.0,0.0
6588000.0,0.097
6624000.0,0.0
6660000.0,0.0
6696000.0,0.591
6732000.0,0.0
6768000.0,0.668
6804000.0,0.0
6840000.0,0.003
6876000.0,0.106
6912000.0,0.0
6948000.0,0.189
6984000.0,0.0
7020000.0,0.075
7056000.0,0.001
7092000.0,0.0
7128000.0,0.315
7164000.0,0.0
7200000.0,0.504
7236000.0,0.0
7272000.0,0.01
7308000.0,0.18
7344000.0,0.0
7376400.0,0.745
7380000.0,0.758
7416000.0,0.0
7452000.0,0.374
7488000.0,0.005
7524000.0,0.0
7560000.0,0.638
7596000.0,0.0
7632000.0,0.6960000000000001
7668000.0,0.0
7704000.0,0.137
7740000.0,0.079
7776000.0,0.0
7812000.0,0.634
7848000.0,0.0
7884000.0,0.507
7920000.0,0.0
7956000.0,0.0
7992000.0,0.237
8028000.0,0.0
8064000.0,0.669
8100000.0,0.0
8136000.0,0.1
8172000.0,0.046
8208000.0,0.0
8244000.0,0.687
8280000.0,0.0
8316000.0,0.41
8352000.0,0.0
8388000.0,0.0
8424000.0,0.39
8460000.0,0.0
8496000.0,0.705
8532000.0,0.0
8568000.0,0.167
8604000.0,0.084
8640000.0,0.0
8676000.0,0.557
8712000.0,0.0
8748000.0,0.271
8784000.0,0.0
8820000.0,0.0
8856000.0,0.518
8892000.0,0.0
8928000.0,0.598
8964000.0,0.0
9000000.0,0.153
9036000.0,0.148
9072000.0,0.0
9108000.0,0.704
9144000.0,0.0
9180000.0,0.588
9187200.0,0.761
9190800.0,0.779
9216000.0,0.0
9252000.0,0.0
9288000.0,0.259
9324000.0,0.0
9360000.0,0.745
9396000.0,0.0
9432000.0,0.219
9468000.0,0.171
9504000.0,0.0
9540000.0,0.5660000000000001
9576000.0,0.0
9612000.0,0.394
9648000.0,0.0
9684000.0,0.001
9720000.0,0.382
9756000.0,0.0
9792000.0,0.621
9828000.0,0.0
9864000.0,0.195
9900000.0,0.167
9936000.0,0.0
9972000.0,0.381
10008000.0,0.0
10044000.0,0.129
10080000.0,0.0
10116000.0,0.001
10152000.0,0.204
10188000.0,0.0
10224000.0,0.294
10260000.0,0.0
10296000.0,0.178
10332000.0,0.086
10368000.0,0.0
10404000.0,0.187
10440000.0,0.0
10476000.0,0.468
10512000.0,0.0
10548000.0,0.009
10573200.0,0.792
10584000.0,0.5670000000000001
10620000.0,0.0
10656000.0,0.77
10692000.0,0.0
10728000.0,0.235
10764000.0,0.209
10800000.0,0.0
10836000.0,0.401
10872000.0,0.0
10908000.0,0.527
10944000.0,0.007
10980000.0,0.005
11016000.0,0.304
11052000.0,0.0
11088000.0,0.619
11124000.0,0.0
11160000.0,0.244
11196000.0,0.055
11232000.0,0.0
11268000.0,0.508
11304000.0,0.0
11340000.0,0.559
11376000.0,0.007
11412000.0,0.011
11448000.0,0.248
11484000.0,0.0
11520000.0,0.646
11556000.0,0.0
11592000.0,0.268
11628000.0,0.21
11664000.0,0.0
11700000.0,0.748
11736000.0,0.0
11772000.0,0.5670000000000001
11808000.0,0.013
11844000.0,0.025
11880000.0,0.5
11916000.0,0.0
11952000.0,0.6890000000000001
11988000.0,0.0
12024000.0,0.268
12060000.0,0.214
12096000.0,0.0
12132000.0,0.501
12168000.0,0.0
12204000.0,0.522
12240000.0,0.012
12276000.0,0.027
12312000.0,0.511
12348000.0,0.0
