t,y
0.0,6.512
36000.0,7.09
72000.0,3.098
108000.0,1.878
144000.0,-1.116
180000.0,-3.183
216000.0,2.06
252000.0,-3.219
288000.0,-0.456
324000.0,2.239
360000.0,4.555
396000.0,5.134
432000.0,0.268
468000.0,2.183
504000.0,-0.141
540000.0,0.124
576000.0,3.237
612000.0,4.252
648000.0,5.734
684000.0,1.42
720000.0,0.993
756000.0,1.927
792000.0,-0.372
828000.0,0.267
864000.0,-1.352
900000.0,0.4
936000.0,3.952
972000.0,1.629
1008000.0,3.588
1044000.0,4.819
1080000.0,5.017
1116000.0,5.714
1152000.0,1.186
1188000.0,-0.806
1224000.0,-0.18
1260000.0,3.825
1296000.0,5.443
1332000.0,5.944
1368000.0,2.826
1404000.0,2.794
1440000.0,2.233
1476000.0,-0.919
1512000.0,1.311
1548000.0,-1.652
1584000.0,-0.705
1620000.0,-2.912
1656000.0,-4.504
1692000.0,-0.945
1728000.0,-3.29
1764000.0,-1.891
1800000.0,-5.432
1836000.0,-7.361
1872000.0,-4.045
1908000.0,-7.923
1922400.0,-8.726
1944000.0,-2.965
1980000.0,-8.578
2016000.0,-5.04
2052000.0,-4.999
2088000.0,-5.911
2124000.0,-3.268
2160000.0,-3.869
2196000.0,0.772
2232000.0,1.192
2268000.0,0.643
2304000.0,1.205
2340000.0,1.263
2376000.0,4.02
2412000.0,-0.832
2448000.0,-1.406
2484000.0,-1.313
2520000.0,-2.94
2556000.0,0.998
2592000.0,-2.692
2628000.0,1.271
2664000.0,-2.023
2700000.0,-4.136
2736000.0,-0.03
2772000.0,-0.203
2808000.0,0.635
2844000.0,-0.794
2880000.0,0.004
2916000.0,-0.36
2952000.0,-3.551
2988000.0,1.866
3024000.0,-1.513
3060000.0,2.495
3096000.0,0.128
3132000.0,-0.943
3168000.0,1.231
3204000.0,-2.093
3240000.0,2.348
3276000.0,0.596
3312000.0,1.733
3348000.0,1.896
3384000.0,0.771
3420000.0,7.515
3456000.0,2.49
3492000.0,4.876
3528000.0,6.099
3564000.0,2.854
3600000.0,3.109
3636000.0,-0.208
3672000.0,5.35
3708000.0,1.03
3744000.0,4.166
3780000.0,5.378
3816000.0,3.201
3852000.0,8.917
3888000.0,-1.317
3924000.0,7.261
3960000.0,1.955
3996000.0,-0.911
4032000.0,5.599
4068000.0,1.831
4104000.0,10.999
4140000.0,2.297
4176000.0,3.804
4212000.0,4.305
4248000.0,1.73
4284000.0,9.013
4320000.0,5.207
4356000.0,7.819
4392000.0,3.99
4428000.0,4.834
4464000.0,8.135
4500000.0,5.875
4536000.0,4.388
4572000.0,-4.632
4608000.0,-0.129
4644000.0,-2.023
4680000.0,-2.323
4716000.0,7.587
4752000.0,0.104
4788000.0,8.922
4824000.0,3.098
4860000.0,0.941
4896000.0,6.502
4932000.0,3.154
4968000.0,13.505
5004000.0,4.359
5040000.0,5.988
5076000.0,3.663
5112000.0,3.015
5148000.0,5.402
5184000.0,1.667
5220000.0,5.674
5256000.0,2.115
5292000.0,5.644
5328000.0,8.725
5364000.0,7.194
5400000.0,13.424
5436000.0,5.16
5472000.0,6.991
5508000.0,4.106
5544000.0,1.188
5580000.0,9.727
5616000.0,7.254
5652000.0,12.059
5688000.0,6.515
5724000.0,6.027
5760000.0,5.995
5796000.0,3.753
5832000.0,11.454
5868000.0,3.548
5904000.0,6.021
5940000.0,1.189
5976000.0,1.069
6012000.0,3.376
6048000.0,0.732
6084000.0,6.471
6120000.0,4.257
6156000.0,3.677
6192000.0,7.302
6228000.0,4.981
6264000.0,6.912
6300000.0,5.726
6336000.0,7.452
6372000.0,8.153
6408000.0,4.698
6444000.0,6.175
6480000.0,6.522
6516000.0,12.651
6552000.0,4.445
6588000.0,2.658
6624000.0,5.942
6660000.0,1.299
6696000.0,7.686
6732000.0,0.535
6768000.0,6.763
6804000.0,7.917
6840000.0,6.209
6876000.0,12.744
6912000.0,5.211
6948000.0,10.879
6984000.0,6.643
7020000.0,7.137
7056000.0,11.572
7092000.0,3.001
7128000.0,11.79
7164000.0,1.342
7200000.0,3.753
7236000.0,2.768
7272000.0,1.578
7308000.0,8.025
7344000.0,1.241
7380000.0,8.409
7416000.0,7.354
7452000.0,7.012
7488000.0,9.293
7524000.0,7.005
7560000.0,14.04
7596000.0,5.307
7632000.0,12.534
7668000.0,9.72
7704000.0,4.143
7740000.0,11.621
7776000.0,-1.194
7812000.0,9.239
7848000.0,2.835
7884000.0,1.447
7920000.0,11.915
7956000.0,6.996
7992000.0,18.043
8028000.0,9.828
8064000.0,13.585
8100000.0,14.048
8136000.0,6.208
8172000.0,15.901
8208000.0,8.056
8244000.0,18.777
8280000.0,10.368
8316000.0,9.409
8352000.0,15.545
8388000.0,5.384
8424000.0,18.603
8460000.0,5.917
8496000.0,7.621
8532000.0,5.224
8568000.0,-1.451
8604000.0,10.068
8640000.0,0.221
8676000.0,7.209
8712000.0,1.18
8748000.0,2.378
8784000.0,5.216
8820000.0,-0.416
8856000.0,8.176
8892000.0,2.525
8928000.0,4.22
8964000.0,6.524
9000000.0,-0.648
9036000.0,13.542
9072000.0,1.085
9108000.0,13.89
9144000.0,6.537
9180000.0,5.322
9216000.0,15.993
9252000.0,4.065
9288000.0,20.148
9324000.0,8.531
9360000.0,16.586
9396000.0,12.682
9432000.0,4.268
9468000.0,20.357
9504000.0,6.036
9540000.0,19.314
9576000.0,10.641
9612000.0,9.302
9648000.0,15.617
9684000.0,8.489
9720000.0,18.853
9756000.0,11.356
9792000.0,16.161
9828000.0,16.181
9864000.0,11.184
9900000.0,24.252
9936000.0,14.572
9972000.0,23.483
10008000.0,12.554
10044000.0,10.234
10080000.0,16.149
10116000.0,7.844
10152000.0,13.513
10188000.0,8.515
10224000.0,10.841
10260000.0,9.965
10296000.0,3.637
10332000.0,18.331
10368000.0,9.506
10404000.0,16.387
10440000.0,10.231
10476000.0,7.853
10512000.0,13.858
10548000.0,4.358
10584000.0,11.856
10620000.0,6.336
10656000.0,6.854
10692000.0,6.066
10728000.0,1.513
10764000.0,13.002
10800000.0,3.466
10836000.0,11.902
10872000.0,6.97
10908000.0,7.192
10944000.0,12.575
10980000.0,2.77
11016000.0,15.79
11052000.0,11.091
11088000.0,13.237
11124000.0,13.718
11160000.0,9.108
11196000.0,16.552
11232000.0,5.726
11268000.0,13.711
11304000.0,8.532
11340000.0,8.525
11376000.0,15.038
11412000.0,3.129
11448000.0,15.968
11484000.0,5.82
11520000.0,10.966
11556000.0,8.416
11592000.0,3.655
11628000.0,14.447
11664000.0,5.908
11700000.0,10.562
11736000.0,8.61
11772000.0,11.852
11808000.0,18.767
11844000.0,8.737
11880000.0,23.676
11916000.0,14.478
11952000.0,22.677
11988000.0,19.354
12024000.0,14.454
12060000.0,21.039
12096000.0,12.394
12132000.0,21.829
12168000.0,16.931
12204000.0,12.95
12240000.0,14.331
12276000.0,7.491
12312000.0,19.003
12348000.0,11.475
12384000.0,19.393
12420000.0,18.707
12456000.0,10.282
12492000.0,18.606
12528000.0,9.101
12564000.0,19.658
12600000.0,16.257
12636000.0,18.018
12672000.0,20.087
12708000.0,12.075
12744000.0,18.596
12780000.0,10.114
12816000.0,14.194
12852000.0,13.473
12888000.0,8.1
12924000.0,22.814
12960000.0,14.141
12996000.0,20.835
13032000.0,17.744
13068000.0,19.817
13104000.0,26.243
13140000.0,14.714
13176000.0,30.369
13212000.0,20.782
13248000.0,30.344
13284000.0,26.003
13320000.0,18.426
13356000.0,30.586
13392000.0,19.94
13428000.0,32.835
13464000.0,24.222
13500000.0,24.893
13536000.0,20.294
13572000.0,13.784
13608000.0,26.123
13644000.0,19.664
13680000.0,21.124
13716000.0,19.389
13752000.0,13.741
13788000.0,26.617
13824000.0,17.14
13860000.0,26.853
13896000.0,21.896
13932000.0,22.726
13968000.0,28.849
14004000.0,19.424
14040000.0,32.935
14076000.0,17.105
14112000.0,20.665
14148000.0,22.844
14184000.0,18.479
14220000.0,29.313
14256000.0,21.527
14292000.0,31.427
14328000.0,20.883
14364000.0,18.449
14400000.0,23.587
14436000.0,15.289
14472000.0,27.42
14508000.0,19.251
14544000.0,27.62
14580000.0,25.859
14616000.0,19.188
14652000.0,30.571
14688000.0,20.065
14724000.0,27.307
14760000.0,21.094
14796000.0,19.532
14832000.0,24.471
14868000.0,14.277
14904000.0,25.943
14940000.0,16.667
14976000.0,25.274
15012000.0,23.958
15048000.0,16.078
15084000.0,30.077
15120000.0,19.633
15156000.0,32.546
15192000.0,25.439
15228000.0,28.231
15249600.0,37.767
15264000.0,33.582
15300000.0,16.024
15336000.0,26.285
15372000.0,15.729
15408000.0,19.693
15444000.0,22.334
15480000.0,16.537
15516000.0,32.184
15552000.0,19.321
15588000.0,35.499
15624000.0,26.041
15660000.0,22.187
15696000.0,27.304
15732000.0,14.993
15768000.0,23.302
15804000.0,13.259
15840000.0,18.915
15876000.0,18.35
15912000.0,11.861
15948000.0,23.737
15984000.0,16.658
16020000.0,20.802
16056000.0,16.86
16092000.0,19.84
16128000.0,21.03
16164000.0,10.884
16200000.0,20.143
16236000.0,12.25
16272000.0,16.492
16308000.0,16.339
16344000.0,11.031
16380000.0,21.269
16416000.0,11.088
16452000.0,21.517
16488000.0,15.552
16524000.0,18.92
16560000.0,24.461
16596000.0,16.498
16632000.0,19.685
16668000.0,16.312
16704000.0,23.198
16740000.0,21.332
16776000.0,14.782
16812000.0,22.181
16848000.0,15.193
16884000.0,20.306
16920000.0,15.678
16956000.0,14.629
16992000.0,21.654
17028000.0,11.521
17064000.0,25.506
17100000.0,15.749
17136000.0,24.322
17172000.0,24.368
17208000.0,19.358
17244000.0,26.881
17280000.0,18.148
17316000.0,28.767
17352000.0,22.07
17388000.0,20.839
17424000.0,25.395
17460000.0,15.119
17496000.0,26.98
17532000.0,19.06
17568000.0,26.431
17604000.0,25.415
17640000.0,19.82
17676000.0,32.914
17712000.0,20.59
17748000.0,33.929
17784000.0,23.536
17820000.0,23.95
17856000.0,30.384
17892000.0,18.85
17928000.0,29.28
17964000.0,20.905
18000000.0,26.542
18036000.0,25.557
18072000.0,23.038
18108000.0,29.829
18144000.0,20.779
18180000.0,27.63
18216000.0,22.386
18252000.0,21.681
18288000.0,22.067
18324000.0,16.731
18360000.0,24.728
18396000.0,16.281
18432000.0,23.757
18468000.0,19.051
18504000.0,15.343
18540000.0,25.879
18576000.0,17.102
18612000.0,24.603
18648000.0,18.214
18684000.0,20.738
18720000.0,25.634
18756000.0,17.131
18792000.0,29.271
18828000.0,18.526
18864000.0,22.473
18900000.0,20.167
18936000.0,14.993
18972000.0,27.131
19008000.0,15.624
19044000.0,26.772
19080000.0,23.367
19116000.0,23.74
19152000.0,26.781
19188000.0,17.983
19224000.0,29.554
19260000.0,20.281
19296000.0,22.397
19332000.0,19.882
19368000.0,16.158
19404000.0,22.448
19440000.0,13.481
19476000.0,21.494
19512000.0,16.29
19548000.0,17.26
19584000.0,21.114
19620000.0,14.496
19656000.0,24.211
19692000.0,15.749
19728000.0,19.727
19764000.0,21.848
19800000.0,17.07
19836000.0,27.849
19872000.0,16.756
19908000.0,23.705
19944000.0,17.705
19980000.0,19.354
20016000.0,21.937
20052000.0,14.754
20088000.0,24.41
20124000.0,15.648
20160000.0,24.246
20196000.0,20.412
20232000.0,14.133
20268000.0,29.29
20304000.0,16.488
20340000.0,28.752
20376000.0,22.119
20412000.0,21.532
20448000.0,29.562
20484000.0,19.036
20520000.0,31.541
20556000.0,21.696
20592000.0,29.139
20628000.0,25.753
20664000.0,20.235
20700000.0,30.572
20736000.0,19.959
20772000.0,29.156
20808000.0,22.346
20844000.0,22.245
20880000.0,28.822
20916000.0,20.311
20952000.0,34.353
